id,record_type,nasa_yuwe,nasa_yuwe_norm,espanol,espanol_norm,categoria,subcategoria,tipo_entrada,source_kind,fuente_url,fuente_nombre,estado_validacion,nivel_confianza,quality_flag,licencia_uso,fecha_extraccion,intencion,split,notas
LEX-00001,lexico,Mea,mea,Cero,cero,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,test,Numero base
LEX-00002,lexico,Teeçx,teeçx,Uno,uno,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Numero base
LEX-00003,lexico,E'z,e'z,Dos,dos,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Numero base
LEX-00004,lexico,Tekh,tekh,Tres,tres,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Numero base
LEX-00005,lexico,Pahz,pahz,Cuatro,cuatro,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Numero base
LEX-00006,lexico,Tahç,tahç,Cinco,cinco,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Numero base
LEX-00007,lexico,Setx,setx,Seis,seis,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Numero base
LEX-00008,lexico,Sa't,sa't,Siete,siete,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Numero base
LEX-00009,lexico,Tawn,tawn,Ocho,ocho,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Numero base
LEX-00010,lexico,Kheb,kheb,Nueve,nueve,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,dev,Numero base
LEX-00011,lexico,Kseba,kseba,Diez,diez,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,test,Numero base
LEX-00012,lexico,Kse teeçx,kse teeçx,Once,once,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Composicion decimal
LEX-00013,lexico,Kse e'z,kse e'z,Doce,doce,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Composicion decimal
LEX-00014,lexico,Kse tekh,kse tekh,Trece,trece,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Composicion decimal
LEX-00015,lexico,Kse pahz,kse pahz,Catorce,catorce,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Composicion decimal
LEX-00016,lexico,Kse tahç,kse tahç,Quince,quince,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Composicion decimal
LEX-00017,lexico,Kse setx,kse setx,Dieciseis,dieciseis,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Composicion decimal
LEX-00018,lexico,Kse sa't,kse sa't,Diecisiete,diecisiete,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Composicion decimal
