evaluation_type,expected_id,query,expected_nasa_yuwe,top_id,top_record_type,top_category,exact_top1,category_top1,coherence_ok
lexical_translation,LEX-00001,Como se dice Cero en nasa yuwe?,Mea,LEX-00001,lexico,numeros,True,True,True
lexical_translation,LEX-00011,Como se dice Diez en nasa yuwe?,Kseba,LEX-00011,lexico,numeros,True,True,True
lexical_translation,LEX-00021,Como se dice Veinte en nasa yuwe?,Eba,LEX-00021,lexico,numeros,True,True,True
lexical_translation,LEX-00031,Como se dice Trescientos en nasa yuwe?,Tekan,LEX-00031,lexico,numeros,True,True,True
lexical_translation,LEX-00041,Como se dice Cuatro mil en nasa yuwe?,Papkab,LEX-00041,lexico,numeros,True,True,True
lexical_translation,LEX-00051,Como se dice Cincuenta mil en nasa yuwe?,Taba pkab,LEX-00051,lexico,numeros,True,True,True
lexical_translation,LEX-00061,Como se dice Azul en nasa yuwe?,Çemçem,LEX-00061,lexico,colores,True,True,True
lexical_translation,LEX-00071,Como se dice horqueta para puerco en nasa yuwe?,cuchi tel,LEX-00071,lexico,animales,True,True,True
lexical_translation,LEX-00081,Como se dice Espina o chuzo en nasa yuwe?,Çhüçh,LEX-00081,lexico,vocabulario_general,True,True,True
lexical_translation,LEX-00091,Como se dice Noche en nasa yuwe?,Kus,LEX-00091,lexico,vocabulario_general,True,True,True
lexical_translation,LEX-00101,Como se dice Redondo o circulo en nasa yuwe?,Taz,LEX-00101,lexico,vocabulario_general,True,True,True
lexical_translation,LEX-00111,Como se dice Camino en nasa yuwe?,Zi’j,LEX-00111,lexico,vocabulario_general,True,True,True
lexical_translation,LEX-00121,Como se dice Gorrion en nasa yuwe?,Çuh,LEX-00121,lexico,animales,True,True,True
lexical_translation,LEX-00131,Como se dice Avispa en nasa yuwe?,Mezuw,LEX-00131,lexico,animales,True,True,True
lexical_translation,LEX-00141,Como se dice Chicharra en nasa yuwe?,Yawee,LEX-00141,lexico,animales,True,True,True
lexical_translation,LEX-00151,Como se dice Codorniz en nasa yuwe?,Fxi'l,LEX-00151,lexico,animales,True,True,True
lexical_translation,LEX-00161,Como se dice Mono en nasa yuwe?,Miku,LEX-00161,lexico,animales,True,True,True
lexical_translation,LEX-00171,Como se dice Aguila en nasa yuwe?,Uh,LEX-00171,lexico,animales,True,True,True
lexical_translation,LEX-00181,Como se dice Ahijado en nasa yuwe?,Khaalu,LEX-00181,lexico,parentescos,True,True,True
